index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022,2012-22,2022
,"0,6","1,2","1,4","1,5","1,8","2,3","3,0","4,0","4,9","6,5","9,1","9,9","13,4","14,9","15,2","14,8","17,7","17,7","17,7","20,2","18,8","20,9","20,7","--1,3%","4,4%","1,0%"
,^,^,^,^,^,^,^,"0,1","0,1",^,^,"0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,1","0,2","0,2","0,1","0,2","37,7%","6,1%",♦
,-,-,-,-,^,^,^,"0,1","0,1","0,2","0,2","0,5","0,5","0,6","0,6","0,8","1,1","1,4","1,1","1,5","1,6","1,4","1,5","11,0%","10,8%","0,1%"
,^,^,^,^,^,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,3","0,3","0,4","0,3","0,3","6,5%","15,8%",♦
,"0,8","0,8","0,9","1,3","1,9","2,1","2,7","3,4","4,3","4,6","4,0","5,1","5,0","5,6","5,8","7,5","8,2","10,6","10,5","11,5","15,3","18,0","21,2","17,5%","15,6%","1,0%"
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","4,2%",-,♦
,^,^,"0,1","0,2","0,3","0,5","0,6","0,9","0,9","1,0","0,9","1,3","1,5","1,9","2,2","2,5","2,1","2,9","3,9","5,5","9,9","11,8","14,8","25,9%","25,3%","0,7%"
,^,^,"0,1","0,1","0,1","0,1","0,3","0,5","0,8","1,1","1,7","3,2","4,7","6,0","7,7","10,9","12,6","14,9","12,8","15,1","15,8","16,2","19,4","19,8%","15,1%","0,9%"
,"0,2","0,3","0,4","0,5","0,8","1,8","2,9","4,0","5,8","7,6","9,2","9,2","10,3","12,0","12,1","11,6","12,5","12,2","12,6","13,7","12,3","13,2","13,3","0,9%","2,7%","0,6%"
,-,-,-,-,-,-,^,^,^,^,"0,3","1,4","2,6","4,5","4,7","7,1","6,6","7,4","6,3","6,8","6,9","6,6","7,0","6,5%","10,3%","0,3%"
,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,♦,"--1,8%",♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,"2,5%",-,♦
