index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022,2012-22,2022
,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,3","56,5%","40,8%",♦
,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,"0,1","0,1","0,2","0,3","0,7","2,0","3,9","8,1","106,8%","143,7%","0,6%"
,^,^,^,^,^,^,^,^,^,"0,2","0,2","0,3","0,4","0,5","0,6","0,8","0,8","1,0","1,0","1,3","1,7","2,2","3,1","37,6%","22,9%","0,2%"
,-,-,-,-,-,-,-,-,-,^,^,^,^,"0,4","1,3","2,0","1,8","1,9","1,8","1,8","1,7","1,7","1,8","4,1%","71,6%","0,1%"
,-,-,-,-,-,-,-,-,-,-,^,"0,4","0,4","0,6","0,6","0,5","0,5","0,5","0,6","0,6","0,7","0,7","0,7","--2,7%","4,4%",♦
,-,-,-,-,-,-,-,-,^,^,^,"0,1","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,5","0,5","18,4%","12,7%",♦
,^,^,^,^,"0,1",^,"0,1","0,5","2,6","6,1","7,1","8,7","12,0","13,1","13,7","13,9","13,6","14,3","12,7","15,1","20,7","27,1","33,8","24,6%","10,9%","2,6%"
,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,2","0,4","0,7","1,0","1,5","2,6","74,6%","63,7%","0,2%"
,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,2","0,3","0,5","0,8","1,1","1,3","1,7","1,9","2,2","2,6","2,8","3,7","31,2%","28,7%","0,3%"
,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,"0,2","1,0","2,9","7,8","9,2","11,0","13,9","15,9","14,1%","127,6%","1,2%"
,-,-,-,-,-,-,-,-,-,-,-,^,"0,3","0,6","0,4","0,5","0,5","0,7","1,1","2,9","5,4","6,3","5,1","--19,6%","31,3%","0,4%"
,^,^,^,^,^,^,^,^,^,^,^,"0,2","1,4","2,0","4,1","7,5","10,4","11,5","12,7","12,4","12,9","12,1","13,9","14,7%","26,2%","1,1%"
,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,2","0,3","0,3","0,4","0,4","0,5","15,9%","31,5%",♦
,"0,1","0,2","0,3","0,5","0,8","1,5","2,6","3,9","7,6","14,3","23,5","47,2","72,2","86,5","98,2","109,1","113,3","123,6","137,1","151,2","176,5","198,7","246,4","24,0%","13,1%","18,6%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,"0,1","0,1","10,3%",-,♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,"0,1","0,1","0,2","0,2","0,2","0,3","68,1%",-,♦
,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,"0,1","0,1","0,1","0,4","1,2","1,6","1,7","4,1%","209,5%","0,1%"
,-,-,-,-,-,-,-,-,-,-,-,^,^,^,"0,2","0,3","0,5","0,5","0,6","1,0","1,9","2,3","2,4","3,7%","88,6%","0,2%"
,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,♦,"21,6%",♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,"0,2","275,4%",-,♦
,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,2","0,3","44,9%","72,4%",♦
,-,-,-,-,-,-,-,-,-,^,^,^,^,^,"0,2","0,4","0,6","0,8","1,0","1,7","3,4","4,4","4,9","11,1%","94,4%","0,4%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,2","0,5","0,6","0,6","0,7","18,3%","100,4%","0,1%"
,-,-,-,-,-,-,-,-,-,-,-,-,-,^,"0,1","0,1","0,1","0,1","0,4","0,4","0,4","0,4","0,4","12,1%",-,♦
,-,-,-,-,-,-,-,-,-,^,"0,1","0,2","0,4","0,5","0,8","1,2","1,6","1,6","1,8","3,1","4,2","5,4","7,1","32,6%","34,4%","0,5%"
,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,"0,1","0,1","0,1","0,1","0,2","0,2",♦,-,♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,"0,2","0,8","1,5","74,7%",-,"0,1%"
,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,"0,4","4826,9%","80,9%",♦
,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,"0,1","0,2","0,2","0,2","0,8","0,8","0,1%","41,6%","0,1%"
,-,-,-,-,-,-,-,-,-,^,^,^,^,"0,1","0,3","0,3","0,3","0,7","1,2","3,7","5,2","6,3","7,0","11,3%","76,1%","0,5%"
,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,"0,2","0,7","1,2","2,0","2,1","3,8","4,7","5,6","17,4%","87,8%","0,4%"
,-,-,-,-,-,-,^,^,^,^,"0,1","0,2","0,4","0,7","1,3","1,8","2,8","3,9","5,9","10,0","14,6","19,2","23,7","23,2%","49,3%","1,8%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,-,-,-,-,-,-,-,-,-,^,^,^,^,"0,1","0,1","0,2","0,5","0,6","0,6","0,7","0,7","0,7","2,7%","38,3%","0,1%"
,^,^,^,^,^,^,^,^,^,^,^,"0,2","0,5",^,"0,1",^,"0,2","0,6","0,6","1,5","4,5","5,1","5,0","--1,0%","25,9%","0,4%"
,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,4","0,4","1,0","1,6","1,5","1,8","1,4","--20,5%","160,3%","0,1%"
,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,2","1,1","2,7","3,3","4,2","4,6","4,9","5,7","6,8","6,2","--8,6%","53,4%","0,5%"
,-,^,^,^,^,^,^,^,^,^,"0,1","0,2","0,2","0,3","0,4","0,5","0,5","0,6","0,7","1,2","1,3","1,5","2,0","33,9%","23,4%","0,2%"
,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,1","0,5","552,5%","36,7%",♦
,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,1","0,4","0,3","0,6","0,8","0,9","1,1","1,3","13,4%","33,1%","0,1%"
,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,3","0,3","0,5","0,7","38,3%","47,9%","0,1%"
,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,3","0,4","0,4","0,4","8,4%","34,6%",♦
,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,6","1,0","0,8","1,9","3,6","5,3","7,0","8,4","11,1","15,3","17,9","18,2","1,5%","33,7%","1,4%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,^,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,3","1,0","2,0","2,4","3,8","5,0","6,2","7,4","8,9","12,3","18,3","23,8","31,2","38,8","24,5%","32,0%","2,9%"
,-,-,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,2","0,2","0,3","0,3","0,3","0,4","0,6","0,7","11,9%","21,9%",♦
,^,^,^,"0,1","0,1","0,1","0,1","0,1","0,2","0,3","0,7","2,6","3,6","8,4","23,5","39,5","66,5","117,8","176,9","224,0","261,1","327,0","427,7","30,8%","61,3%","32,3%"
,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1",♦,"33,1%",♦
,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,1","0,8","2,1","3,4","4,9","6,6","11,6","21,5","36,3","46,3","58,7","68,3","95,2","39,3%","46,4%","7,2%"
,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,2","0,2","0,3","55,6%","58,4%",♦
,"0,3","0,5","0,7","1,0","1,3","1,6","2,0","2,3","2,6","3,0","4,0","5,4","7,4","12,9","23,5","34,5","43,3","54,2","62,1","67,7","75,1","92,4","102,4","10,8%","30,1%","7,7%"
,-,-,-,-,-,-,-,-,-,-,-,-,^,"0,1","0,2","0,3","0,3","0,3","0,6","1,4","2,0","2,5","2,7","8,2%","81,5%","0,2%"
,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,1","0,2","0,2","0,3","34,2%","50,0%",♦
,-,-,-,-,-,-,-,^,^,^,^,^,"0,1","0,1","0,2","0,4","0,4","0,7","0,7","0,7","0,7","0,7","0,9","24,1%","29,7%","0,1%"
,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,"0,1","1,1","1,2","1,2","1,2","1,4","1,5","1,8","21,2%","106,2%","0,1%"
,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,2","0,3","0,4","0,7","68,2%","55,3%","0,1%"
,^,^,^,^,^,^,^,"0,1","0,3","0,6","0,8","0,9","1,1","1,7","2,7","4,2","5,5","7,7","10,2","14,2","19,3","24,7","27,0","9,1%","37,4%","2,0%"
,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,2","0,3","0,5","0,6","0,9","1,0","14,4%","58,7%","0,1%"
,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,2","0,3","0,5","0,9","1,1","1,7","2,7","4,0","6,1","8,0","10,7","34,0%","52,2%","0,8%"
