index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2022,2012-22,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,5","0,5","0,5","0,5","0,5","0,6","0,6","0,6","0,4","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,5","0,7","0,7","0,7","0,8","0,8","0,8",♦,"6,5%",♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
,"29,2","32,9","35,1","36,1","36,9","36,1","35,7","37,2","35,4","34,4","34,3","35,2","38,8","32,2","30,2","29,2","24,2","22,1","20,6","21,9","19,0","17,2","17,8","3,5%","--7,5%","0,2%"
,"29,7","33,4","35,6","36,5","37,4","36,7","36,3","37,8","35,7","34,7","34,6","35,6","39,2","32,6","30,7","29,7","24,7","22,8","21,3","22,7","19,8","17,9","18,5","3,3%","--7,2%","0,2%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
,"193,2","195,3","204,0","217,3","226,2","228,9","237,5","244,6","240,5","232,0","240,5","241,5","236,7","230,7","226,8","224,4","226,3","224,2","226,4","220,2","209,3","206,1","197,2","--4,4%","--1,8%","1,9%"
,"15,0","19,1","18,9","17,7","19,0","19,9","18,4","17,9","17,0","15,7","16,8","18,5","18,8","20,7","25,2","26,5","26,4","28,3","33,2","37,5","36,2","36,9","39,2","6,3%","7,6%","0,4%"
,"208,2","214,4","222,9","235,0","245,2","248,8","255,9","262,5","257,5","247,7","257,3","260,0","255,6","251,4","252,0","251,0","252,7","252,6","259,7","257,7","245,5","243,1","236,4","--2,7%","--0,8%","2,3%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"180,3","179,9","171,9","173,6","179,0","183,0","185,8","185,5","184,2","182,0","176,0","172,0","165,4","155,4","155,2","162,2","162,4","159,2","156,6","149,8","142,9","137,4","130,9","--4,7%","--2,3%","1,3%"
,"1060,3","1129,1","1282,6","1520,0","1722,4","1980,1","2302,4","2656,7","2708,9","2911,5","3233,6","3690,9","3748,2","4077,4","4203,1","4046,2","4156,4","4430,0","4763,9","4855,2","4922,0","5328,8","5397,8","1,3%","3,7%","52,3%"
,"390,2","408,3","426,7","441,5","463,0","478,5","505,5","533,3","573,1","611,1","643,0","701,3","787,1","848,0","949,9","1006,6","1073,6","1115,2","1198,9","1198,8","1143,8","1274,1","1380,1","8,3%","5,8%","13,4%"
,"34,0","37,7","42,9","46,5","48,2","51,8","58,7","63,9","61,5","65,9","68,5","81,1","102,2","111,3","119,5","124,7","135,4","148,0","160,0","174,5","180,9","190,0","205,3","8,1%","7,2%","2,0%"
,"233,9","249,2","260,1","288,0","291,1","315,1","307,5","313,0","331,0","309,6","312,7","281,6","330,8","359,2","353,1","346,7","322,9","320,1","314,5","307,2","298,0","301,9","309,0","2,4%","--0,7%","3,0%"
,"4,0","6,2","9,6","13,4","22,6","25,2","26,6","30,9","31,0","37,6","49,4","52,3","55,6","53,7","55,8","63,5","69,2","68,9","77,3","76,4","84,2","78,0","76,4","--2,0%","3,2%","0,7%"
,"113,8","126,2","136,1","137,8","142,4","149,4","152,9","170,0","189,9","208,4","217,6","223,2","222,5","223,3","224,7","232,2","232,6","258,1","255,9","243,9","208,9","211,7","208,7","--1,4%","--0,6%","2,0%"
,"87,0","95,1","102,9","112,4","115,4","120,1","124,1","128,5","122,2","120,7","122,4","124,5","122,5","121,5","123,5","117,2","121,2","128,0","131,3","126,4","125,9","128,9","121,2","--6,0%","--0,1%","1,2%"
,"18,2","20,3","19,3","19,3","20,4","20,6","24,5","30,9","30,8","29,8","29,8","31,7","34,6","35,4","37,6","34,6","37,1","35,7","35,8","35,8","36,8","36,1","35,5","--1,5%","0,3%","0,3%"
,"3,1","3,2","4,9","7,2","7,2","11,0","12,2","12,4","12,3","12,4","15,9","19,9","21,3","24,0","34,9","52,7","64,0","62,6","83,8","111,2","114,8","114,2","100,8","--11,7%","16,8%","1,0%"
,"48,8","52,8","50,9","56,9","57,3","59,8","61,3","63,3","62,6","63,2","65,4","70,3","74,9","80,5","85,8","88,3","102,8","116,3","135,3","151,2","151,1","155,5","154,4","--0,7%","7,5%","1,5%"
,"2173,7","2308,1","2507,8","2816,5","3069,0","3394,7","3761,4","4188,2","4307,7","4552,4","4934,2","5448,7","5664,9","6089,6","6343,1","6274,8","6477,5","6842,1","7313,2","7430,4","7409,2","7956,4","8120,1","2,1%","3,7%","78,7%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,"5991,9","6071,6","6323,0","6768,4","6989,4","7361,1","7763,0","8253,8","8270,2","8118,1","8639,9","9083,9","9114,4","9583,6","9761,9","9414,4","9435,7","9722,0","10102,5","9871,5","9472,2","10211,1","10317,2","1,0%","1,2%","100,0%"
,"3786,3","3751,3","3805,3","3944,1","3931,7","3998,9","3992,0","4060,1","3961,3","3620,1","3738,9","3610,7","3472,7","3542,1","3476,1","3216,3","3000,3","2946,1","2835,3","2455,9","2066,4","2247,8","2197,3","--2,2%","--4,5%","21,3%"
,"2205,5","2320,3","2517,7","2824,3","3057,7","3362,2","3771,0","4193,8","4308,9","4498,0","4900,9","5473,2","5641,7","6041,5","6285,8","6198,1","6435,4","6775,9","7267,2","7415,6","7405,8","7963,3","8119,8","2,0%","3,7%","78,7%"
,"832,3","833,0","847,6","891,2","877,2","850,4","858,6","874,7","799,4","736,5","742,2","765,0","776,0","761,9","726,4","735,0","690,3","670,7","627,6","476,6","370,9","439,8","461,2","4,9%","--5,1%","4,5%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
